markers/latitude,markers/longitude,markers/mcnt,markers/nb,markers/type,markers/tema,markers/kung,markers/irm1
35.7839085,129.2347008,,N,gb,gb,korea/gbm/gjns,경주 남산
37.574361,126.9858228,,N,gb,gb,korea/gbm/seojc,동방화랑
36.2793196,126.9134088,,N,gb,gb,korea/gbm/jrsj,부여 정림사지
39.9113861,127.5214605,,N,gb,gb,korea/gbm/aaa,북한국보 109호 선화당
37.984636,126.5434811,,N,gb,gb,korea/gbm/aaa,북한국보 122호 만월대
37.982455,126.4732533,,N,gb,gb,korea/gbm/aaa,북한국보 123호 공민왕릉
37.9921508,126.5709729,,N,gb,gb,korea/gbm/aaa,북한국보 127호 개성 성균관
37.9769215,126.5660666,,N,gb,gb,korea/gbm/aaa,북한국보 159호 선죽교
39.1522503,126.0541341,,N,gb,gb,korea/gbm/aaa,북한국보 174호 단군릉
37.9857624,126.5054862,,N,gb,gb,korea/gbm/aaa,북한국보 179호 왕건왕릉
39.0360213,125.7542838,,N,gb,gb,korea/gbm/aaa,북한국보 18호 칠성문
39.0413766,125.7595474,,N,gb,gb,korea/gbm/aaa,북한국보 19호 을밀대
39.0270683,125.7418464,,N,gb,gb,korea/gbm/aaa,북한국보 2호 보통문
39.6224839,125.656591,,N,gb,gb,korea/gbm/aaa,북한국보 31호 백상루
38.8895483,125.9296962,,N,gb,gb,korea/gbm/aaa,북한국보 36호 동명왕릉
39.0225741,125.7567694,,N,gb,gb,korea/gbm/aaa,북한국보 4호 대동문
38.4492471,125.5086946,,N,gb,gb,korea/gbm/aaa,북한국보 67호 안악 3호분
37.5599327,126.9753035,,N,gb,gb,korea/gbm/susurm,숭례문
37.5747549,126.9938664,,N,gb,gb,korea/gbm/jmjj,종묘
35.5396744,128.4967852,,N,gb,gb,korea/gbm/sjrsc,창녕 술정리
35.835071,129.2189976,,N,gb,gb,korea/gbm/csd,첨성대
37.0157366,127.8668712,,N,gb,gb,korea/gbm/qcbcj,국보 6호 충주 탑평리 칠층석탑
36.9431225,127.1346113,,N,gb,gb,korea/gbm/qcnca,국보 7호 천안 봉선홍경사 갈기비
36.5662094,128.7463555,,N,gb,gb,korea/gbm/qgbad,국보 16호 안동 법흥사지 칠층전탑
35.8249609,129.1877504,,N,gb,gb,korea/gbm/qgbgj,국보 25호 경주 태종무열왕릉비
35.8408217,129.2336906,,N,gb,gb,korea/gbm/qgbgj,국보 30호 경주 분황사 모전석탑
35.5406761,128.5027382,,N,gb,gb,korea/gbm/qgncn,국보 33호 창녕 신라 진흥왕 척경비
35.8320169,129.2423001,,N,gb,gb,korea/gbm/qgbgj,국보 37호 경주 황복사지 삼층석탑
35.8930619,129.2123878,,N,gb,gb,korea/gbm/qgbgj,국보 39호 경주 나원리 오층석탑
36.019048,129.1569992,,N,gb,gb,korea/gbm/qgbgj,국보 40호 경주 정혜사지 십삼층석탑
36.6329452,127.4897786,,N,gb,gb,korea/gbm/qcbcj,국보 41호 청주 용두사지 철당간
37.7532492,128.8918097,,N,gb,gb,korea/gbm/qgugr,국보 51호 강릉 임영관 삼문
